Rank,Country/Region,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2000,1990,1980,1967
34,Slovakia,4.9,3.4,3.9,5.2,5,4.8,4.6,4.7,4.5,4.4,4.2,4.6,3.7,4.5,5.1,3.7,5.1,N/A,N/A
35,Czech Republic,4.8,4.5,4.4,4.9,4.6,5.3,5.3,5.4,5.2,5.1,5.6,5.2,4.6,6.4,7.1,6.2,9.7,N/A,N/A
36,Sweden,4.7,4.4,4.7,4.7,4.7,4.62,4.4,4.5,4.4,4.3,4.9,4.8,2.8,5.2,5.7,5.2,4.5,4.2,4.7
37,Kazakhstan,4.4,3.9,4.1,4,4.4,4.2,3.6,3.7,3.3,3.9,4.7,4.3,4.1,4.3,4.8,4.7,7.4,N/A,N/A
38,Finland,4.3,3.5,3.5,4.1,4,4.1,4,3.8,3.5,3.8,4,4,3.1,4.4,4.4,4.1,2.9,2.5,0.4
39,Algeria,4.2,4,2.4,2.3,0.4,4.62,4.4,4.5,4.4,4.3,4.9,4.8,2.8,5.2,5.7,5.2,4.5,4.2,4.7
40,Romania,3.4,2.8,3.4,3.5,3.6,3.3,3.4,3.2,3,3.3,3.8,3.9,2.7,5,6.3,4.7,9.7,13.2,4.1
41,United Arab Emirates,3,2.7,3.3,3.2,3.3,3.2,3,2.4,2.9,2.4,2,0.5,0.2,0.1,0.1,0.1,-,-,
42,Belarus,2.4,2.5,2.6,2.5,2.4,2.2,2.6,2.5,2.2,2.7,2.6,2.5,2.4,2.6,2.4,1.5,1.5,-,-
43,Luxembourg,2.1,2.2,2.2,2.3,2.1,2.2,2.1,2.2,2.5,2.5,2.1,2.6,2.9,2.6,3.6,4.6,4.5,,
44,Oman,2,2.2,2,2,2,2,2,2.1,2.1,2,2,1.5,1.6,2,1.9,1.1,0.8,0.7,0.3
45,Portugal,2,2.2,2,2.2,2.1,2,2,2.1,2.1,2,2,1.5,1.6,2,1.9,1.1,0.8,0.7,0.3
,Soviet Union,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154.4,147.9,96.9
-,Others,24.8,27.7,,,,,,,28.4,29.5,29.9,29.5,23.3,28.6,30.7,,,,
